Date,Hour,Average Temperature(in °C),Average Humidity(in %),Rainfall(in mm)
2025-01-03,22:00,-0.7366666666666666,94.82666666666667,0
2025-01-03,23:00,-0.8433333333333334,95.42,0
2025-01-04,00:00,-1.0133333333333334,95.57666666666667,0
2025-01-04,01:00,-1.1700000000000002,95.4,0
2025-01-04,02:00,-1.6266666666666665,96.23666666666666,0
2025-01-04,03:00,-1.82,97.34333333333333,0
2025-01-04,04:00,-1.6666666666666667,97.64333333333335,0
2025-01-04,05:00,-1.57,97.22666666666667,0
2025-01-04,06:00,-1.3299999999999998,97.61333333333333,0
2025-01-04,07:00,-0.4066666666666666,97.58,0
2025-01-04,08:00,-0.05,96.41000000000001,0
2025-01-04,09:00,0.2366666666666667,95.30333333333333,0
2025-01-04,10:00,0.5566666666666666,94.15333333333334,0
2025-01-04,11:00,0.8666666666666667,92.77333333333333,0
2025-01-04,12:00,1.5533333333333335,89.86999999999999,0.5588
2025-01-04,13:00,1.6566666666666667,89.55,0
2025-01-04,14:00,1.7966666666666666,89.48,0
2025-01-04,15:00,1.1733333333333333,92.14,0
2025-01-04,16:00,1.46,92.33333333333333,0
2025-01-04,17:00,1.6,92.91000000000001,0
2025-01-04,18:00,1.71,92.44666666666667,0
2025-01-04,19:00,1.85,91.73666666666666,0
2025-01-04,20:00,1.87,91.69,0
2025-01-04,21:00,1.7766666666666666,91.08666666666666,0
2025-01-04,22:00,1.4966666666666666,91.27,0
2025-01-04,23:00,1.3833333333333333,90.85333333333332,0
2025-01-05,00:00,0.8466666666666668,92.06,0
2025-01-05,01:00,0.13333333333333333,94.03333333333333,0
2025-01-05,02:00,-0.22,94.60333333333332,0
2025-01-05,03:00,-0.33999999999999997,93.86,0
2025-01-05,04:00,-0.38333333333333336,93.29666666666667,0
2025-01-05,05:00,-0.44666666666666666,91.95333333333333,0
2025-01-05,06:00,-0.43,91.31,0
2025-01-05,07:00,-0.09333333333333332,87.69,0
2025-01-05,08:00,0.0033333333333333335,85.11333333333333,0
2025-01-05,09:00,0.03666666666666667,84.08666666666666,0
2025-01-05,10:00,0.17666666666666667,82.49333333333334,0
2025-01-05,11:00,0.43,83.64,0
2025-01-05,12:00,0.6233333333333333,85.84333333333333,0
2025-01-05,13:00,0.4766666666666667,91.0,0
2025-01-05,14:00,0.26,93.8,1.1176
2025-01-05,15:00,0.20666666666666667,96.15333333333334,2.2351999999999994
2025-01-05,16:00,0.21000000000000002,97.08,1.9557999999999995
2025-01-05,17:00,0.3733333333333333,98.02666666666667,1.3969999999999998
2025-01-05,18:00,0.6866666666666668,98.88666666666667,1.6763999999999997
2025-01-05,19:00,1.0266666666666666,99.45666666666666,0.8382
2025-01-05,20:00,1.6666666666666667,99.88666666666668,0.2794
2025-01-05,21:00,2.3666666666666667,99.9,0.5588
2025-01-05,22:00,3.8733333333333335,99.9,1.1176
2025-01-05,23:00,7.333333333333333,99.9,1.6763999999999997
2025-01-06,00:00,9.41,99.9,0
2025-01-06,01:00,9.893333333333334,99.9,0
2025-01-06,02:00,10.04,99.46333333333334,0
2025-01-06,03:00,10.023333333333333,99.59,0.2794
2025-01-06,04:00,10.03,99.70333333333333,0.2794
2025-01-06,05:00,10.146666666666667,97.9,0
2025-01-06,06:00,10.216666666666667,95.73,0
2025-01-06,07:00,10.316666666666666,94.04666666666667,0
2025-01-06,08:00,10.096666666666666,94.91333333333334,0
2025-01-06,09:00,9.753333333333334,92.36,0
2025-01-06,10:00,10.17,87.74,0
2025-01-06,11:00,10.883333333333333,83.16666666666667,0
2025-01-06,12:00,11.02,87.57000000000001,0
2025-01-06,14:00,13.036842105263156,77.10526315789474,0
2025-01-06,15:00,11.623333333333333,78.18666666666667,0
2025-01-06,16:00,11.19,82.64333333333335,0
2025-01-06,17:00,10.07,78.03,0.2794
2025-01-06,18:00,8.156666666666666,74.86,0
2025-01-06,19:00,7.04,72.74666666666667,0
2025-01-06,20:00,6.573333333333333,71.59333333333333,0
2025-01-06,21:00,5.676666666666666,77.65666666666667,0
2025-01-06,22:00,5.463333333333334,74.08,0
2025-01-06,23:00,5.14,75.18333333333334,0
2025-01-07,00:00,4.92,74.63000000000001,0
2025-01-07,01:00,4.71,74.86333333333333,0
2025-01-07,02:00,4.77,76.71000000000001,0
2025-01-07,03:00,4.986666666666666,77.62666666666668,0
2025-01-07,04:00,4.513333333333334,78.67333333333333,0
2025-01-07,05:00,4.95,76.37333333333332,0
2025-01-07,06:00,4.723333333333333,76.89,0
2025-01-07,07:00,4.463333333333334,77.61666666666666,0
2025-01-07,08:00,4.243333333333333,78.69,0
2025-01-07,09:00,4.569999999999999,78.99666666666667,0
2025-01-07,10:00,5.016666666666667,77.81,0
2025-01-07,11:00,5.073333333333333,76.06666666666666,0
2025-01-07,12:00,5.083333333333333,75.28,0
2025-01-07,13:00,4.9766666666666675,74.88000000000001,0
2025-01-07,14:00,4.930000000000001,75.0,0
2025-01-07,15:00,3.1666666666666665,86.55666666666666,0
2025-01-07,16:00,2.8,87.13666666666667,0
2025-01-07,17:00,2.65,85.47333333333333,0
2025-01-07,18:00,2.356666666666667,87.57,0.2794
2025-01-07,19:00,1.59,88.39666666666668,0
2025-01-07,20:00,1.37,87.43,0
2025-01-07,21:00,1.6099999999999999,87.44,0
2025-01-07,22:00,1.71,87.58666666666666,0
2025-01-07,23:00,1.96,87.41000000000001,0
2025-01-08,00:00,2.393333333333333,88.20333333333333,0
2025-01-08,01:00,2.03,93.54333333333334,0
2025-01-08,02:00,2.2366666666666664,91.53999999999999,0
2025-01-08,03:00,2.2933333333333334,89.85333333333332,0
2025-01-08,04:00,2.3333333333333335,88.96666666666667,0
2025-01-08,05:00,1.77,88.36999999999999,0
2025-01-08,06:00,1.4466666666666665,88.72666666666667,0
2025-01-08,07:00,1.8633333333333333,87.40333333333334,0.2794
2025-01-08,08:00,1.46,87.51666666666667,0
2025-01-08,09:00,1.6833333333333333,86.75666666666666,0
2025-01-08,10:00,2.4733333333333336,82.60666666666665,0
2025-01-08,11:00,3.216666666666667,79.14333333333335,0
2025-01-08,12:00,3.466666666666667,77.72333333333333,0
2025-01-08,13:00,3.77,76.38333333333334,0
2025-01-08,14:00,4.35,73.42333333333333,0
2025-01-08,15:00,3.86,74.83999999999999,0
2025-01-08,16:00,2.783333333333333,78.86666666666666,0
2025-01-08,17:00,2.033333333333333,82.91666666666667,0
2025-01-08,18:00,1.1166666666666667,86.87666666666668,0
2025-01-08,19:00,0.5466666666666666,89.78333333333333,0
2025-01-08,20:00,0.6833333333333333,90.46333333333334,0
