Date & Time,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2025-01-05 06:00,0.24800002999999976 0.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0,-0.05199998000000022 2.3100000000000023 0.0
2025-01-05 07:00,0.5346666666666667 -1.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0,0.2846666866666667 -0.3100000000000023 0.0
2025-01-05 08:00,0.4813333533333333 1.1133333333333155 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0,0.3813333533333333 -0.8866666666666845 0.0
2025-01-05 09:00,0.31466666666666665 2.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0,0.1646666666666666 1.086666666666659 0.0
2025-01-05 10:00,0.6046666666666667 -7.506666666666675 0.0,0.6046666666666667 -7.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0,0.3046666666666667 -3.506666666666675 0.0
2025-01-05 11:00,0.858 -9.36 0.0,1.058 -9.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0,0.858 -10.36 0.0
2025-01-05 12:00,1.1013333533333332 -7.156666666666666 0.0,1.151333333333333 -8.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0,1.001333353333333 -9.156666666666666 0.0
2025-01-05 13:00,0.8546666866666667 -4.0 -0.1,1.0046666666666666 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0,0.8546666866666667 -4.0 0.0
2025-01-05 14:00,0.3879999999999999 1.7999999999999972 0.017599999999999838,0.48800001999999987 1.7999999999999972 0.21759995999999993,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176,0.4379999999999999 -0.20000000000000284 0.5176
2025-01-05 15:00,0.33466666666666667 3.1533333333333644 0.3351999999999995,0.1846666666666667 3.1533333333333644 0.9351998999999993,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937,0.2346666666666667 3.1533333333333644 0.43519999999999937
