Datetime,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-29 09:00,1.172 98.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0,1.222 97.0 0.0
2024-12-29 10:00,1.7720001 97.0 0.0,1.8720001 96.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0,2.422 94.0 0.0
2024-12-29 11:00,2.422 96.0 0.0,2.172 95.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0
2024-12-29 12:00,2.922 95.0 0.0,2.372 94.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0,2.822 92.0 0.0
2024-12-29 13:00,3.222 95.0 0.0,2.572 93.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0,2.972 90.0 0.0
2024-12-29 14:00,3.2719998 93.0 0.0,2.972 92.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0,2.872 90.0 0.0
2024-12-29 15:00,2.822 93.0 0.0,2.822 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0
2024-12-29 16:00,2.672 93.0 0.0,2.722 93.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0,2.672 92.0 0.0
2024-12-29 17:00,2.572 93.0 0.0,2.972 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0,2.722 93.0 0.0
2024-12-29 18:00,2.672 94.0 0.0,2.922 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0,2.572 93.0 0.0
2024-12-29 19:00,2.7719998 94.0 0.0,2.872 95.0 0.0,2.7719998 94.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0,3.572 95.0 0.0
2024-12-29 20:00,2.822 94.0 0.0,2.872 95.0 0.0,3.0219998 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0,3.872 95.0 0.0
2024-12-29 21:00,3.322 94.0 0.0,2.972 95.0 0.0,3.072 96.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0,3.7719998 95.0 0.0
2024-12-29 22:00,3.422 94.0 0.0,3.172 95.0 0.0,3.472 96.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0,4.1219997 95.0 0.0
2024-12-29 23:00,3.5219998 94.0 0.0,3.472 95.0 0.0,3.722 96.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0,4.572 95.0 0.0
2024-12-30 00:00,4.272 95.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0,3.622 96.0 0.0
2024-12-30 01:00,4.422 95.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0,3.922 96.0 0.0
